INSEE_CO P12_POP POSTAL_C LIB ATIH_COM ATIH_POP POSTAL_P POP_V OK Nom_de_la_commune POSTAL_COM LibellÈ_d_acheminement Territoire LibTerr
93070 47499 93400 SAINT-OUEN 93400 47499 47499 47499 1 "ST OUEN" 93400 "ST OUEN" T6 "T6 Plaine Commune"
93074 6834 93410 VAUJOURS 93410 6834 6834 6834 1 VAUJOURS 93410 VAUJOURS T9 "T9 Grand-Paris Est"
93078 35820 93420 VILLEPINTE 93420 35820 35820 35820 1 VILLEPINTE 93420 VILLEPINTE T7 "T7 Territoire des aéroports"
93079 12502 93430 VILLETANEUSE 93430 12502 12502 12502 1 VILLETANEUSE 93430 VILLETANEUSE T6 "T6 Plaine Commune"
93030 10493 93440 DUGNY 93440 10493 10493 10493 1 DUGNY 93440 DUGNY T7 "T7 Territoire des aéroports"
93039 6981 93450 L'ILE-SAINT-DENIS 93450 6981 6981 6981 1 "L ILE ST DENIS" 93450 "L ILE ST DENIS" T6 "T6 Plaine Commune"
93033 6574 93460 GOURNAY-SUR-MARNE 93460 6574 6574 6574 1 "GOURNAY SUR MARNE" 93460 "GOURNAY SUR MARNE" T9 "T9 Grand-Paris Est"
93015 4668 93470 COUBRON 93470 4668 4668 4668 1 COUBRON 93470 COUBRON T9 "T9 Grand-Paris Est"
93055 53060 93500 PANTIN 93500 53060 53060 53060 1 PANTIN 93500 PANTIN T8 "T8 Est Ensemble"
93005 81899 93600 AULNAY-SOUS-BOIS 93600 81899 81899 81899 1 "AULNAY SOUS BOIS" 93600 "AULNAY SOUS BOIS" T7 "T7 Territoire des aéroports"
93029 67181 93700 DRANCY 93700 67181 67181 67181 1 DRANCY 93700 DRANCY T7 "T7 Territoire des aéroports"
93031 55140 93800 EPINAY-SUR-SEINE 93800 55140 55140 55140 1 "EPINAY SUR SEINE" 93800 "EPINAY SUR SEINE" T6 "T6 Plaine Commune"
94028 89845 94000 CRETEIL 94000 89845 89845 89845 1 CRETEIL 94000 CRETEIL T11 "T11 Plaine Centrale - Haut Val-de-Marne - Plateau Briand"
94068 74176 94100 SAINT-MAUR-DES-FOSSES 94100 74176 74176 74176 1 "ST MAUR DES FOSSES" 94100 "ST MAUR DES FOSSES" T10 "T10 ACTEP"
94003 19526 94110 ARCUEIL 94110 19526 19526 19526 1 ARCUEIL 94110 ARCUEIL T12 "T12 Val de Bièvres - Seine Amont - Grand Orly"
94033 52998 94120 FONTENAY-SOUS-BOIS 94120 52998 52998 52998 1 "FONTENAY SOUS BOIS" 94120 "FONTENAY SOUS BOIS" T10 "T10 ACTEP"
94052 30884 94130 NOGENT-SUR-MARNE 94130 30884 30884 30884 1 "NOGENT SUR MARNE" 94130 "NOGENT SUR MARNE" T10 "T10 ACTEP"
94002 44397 94140 ALFORTVILLE 94140 44397 44397 44397 1 ALFORTVILLE 94140 ALFORTVILLE T11 "T11 Plaine Centrale - Haut Val-de-Marne - Plateau Briand"
94065 5691.00000000001 94150 RUNGIS 94150 5691 5691 5691.00000000001 1 RUNGIS 94150 RUNGIS T12 "T12 Val de Bièvres - Seine Amont - Grand Orly"
94067 21846 94160 SAINT-MANDE 94160 21846 21846 21846 1 "ST MANDE" 94160 "ST MANDE" T10 "T10 ACTEP"
94058 33248 94170 "LE PERREUX-SUR-MARNE" 94170 33248 33248 33248 1 "LE PERREUX SUR MARNE" 94170 "LE PERREUX SUR MARNE" T10 "T10 ACTEP"
94078 32994 94190 VILLENEUVE-SAINT-GEORGES 94190 32994 32994 32994 1 "VILLENEUVE ST GEORGES" 94190 "VILLENEUVE ST GEORGES" T12 "T12 Val de Bièvres - Seine Amont - Grand Orly"
94041 58579 94200 IVRY-SUR-SEINE 94200 58579 58579 58579 1 "IVRY SUR SEINE" 94200 "IVRY SUR SEINE" T12 "T12 Val de Bièvres - Seine Amont - Grand Orly"
94018 30148 94220 CHARENTON-LE-PONT 94220 30148 30148 30148 1 "CHARENTON LE PONT" 94220 "CHARENTON LE PONT" T10 "T10 ACTEP"
94016 28365 94230 CACHAN 94230 28365 28365 28365 1 CACHAN 94230 CACHAN T12 "T12 Val de Bièvres - Seine Amont - Grand Orly"
94038 31168 94240 L'HAY-LES-ROSES 94240 31168 31168 31168 1 "L HAY LES ROSES" 94240 "L HAY LES ROSES" T12 "T12 Val de Bièvres - Seine Amont - Grand Orly"
94037 16623 94250 GENTILLY 94250 16623 16623 16623 1 GENTILLY 94250 GENTILLY T12 "T12 Val de Bièvres - Seine Amont - Grand Orly"
94034 26419 94260 FRESNES 94260 26419 26419 26419 1 FRESNES 94260 FRESNES T12 "T12 Val de Bièvres - Seine Amont - Grand Orly"
94043 26119 94270 "LE KREMLIN-BICETRE" 94270 26119 26119 26119 1 "LE KREMLIN BICETRE" 94270 "LE KREMLIN BICETRE" T12 "T12 Val de Bièvres - Seine Amont - Grand Orly"
94077 19782 94290 VILLENEUVE-LE-ROI 94290 19782 19782 19782 1 "VILLENEUVE LE ROI" 94290 "VILLENEUVE LE ROI" T12 "T12 Val de Bièvres - Seine Amont - Grand Orly"
94080 49831 94300 VINCENNES 94300 49831 49831 49831 1 VINCENNES 94300 VINCENNES T10 "T10 ACTEP"
94054 21628 94310 ORLY 94310 21628 21628 21628 1 ORLY 94310 ORLY T12 "T12 Val de Bièvres - Seine Amont - Grand Orly"
94073 29422 94320 THIAIS 94320 29422 29422 29422 1 THIAIS 94320 THIAIS T12 "T12 Val de Bièvres - Seine Amont - Grand Orly"
94042 18020 94340 JOINVILLE-LE-PONT 94340 18020 18020 18020 1 "JOINVILLE LE PONT" 94340 "JOINVILLE LE PONT" T10 "T10 ACTEP"
94079 27737 94350 VILLIERS-SUR-MARNE 94350 27737 27737 27737 1 "VILLIERS SUR MARNE" 94350 "VILLIERS SUR MARNE" T10 "T10 ACTEP"
94015 16319 94360 BRY-SUR-MARNE 94360 16319 16319 16319 1 "BRY SUR MARNE" 94360 "BRY SUR MARNE" T10 "T10 ACTEP"
94071 25900 94370 SUCY-EN-BRIE 94370 25900 25900 25900 1 "SUCY EN BRIE" 94370 "SUCY EN BRIE" T11 "T11 Plaine Centrale - Haut Val-de-Marne - Plateau Briand"
